Name,Size,Time
WriteOnly,1024,673
ReadOnly,1024,727
EvenReadsWrites,1024,1090
10pctReads,1024,1207
10pctWrites,1024,1083
WriteOnly,2048,1380
ReadOnly,2048,986
EvenReadsWrites,2048,1977
10pctReads,2048,2351
10pctWrites,2048,2101
WriteOnly,4096,3324
ReadOnly,4096,2488
EvenReadsWrites,4096,6674
10pctReads,4096,7465
10pctWrites,4096,7594
WriteOnly,8192,6936
ReadOnly,8192,5042
EvenReadsWrites,8192,10526
10pctReads,8192,16027
10pctWrites,8192,14768
WriteOnly,16384,15195
ReadOnly,16384,8995
EvenReadsWrites,16384,29660
10pctReads,16384,32145
10pctWrites,16384,35699
WriteOnly,32768,32422
ReadOnly,32768,22855
EvenReadsWrites,32768,63629
10pctReads,32768,64507
10pctWrites,32768,62415
WriteOnly,65536,69030
ReadOnly,65536,43747
EvenReadsWrites,65536,111848
10pctReads,65536,107505
10pctWrites,65536,99691
WriteOnly,131072,139226
ReadOnly,131072,90715
EvenReadsWrites,131072,202426
10pctReads,131072,190423
10pctWrites,131072,176174
WriteOnly,262144,274661
ReadOnly,262144,168652
EvenReadsWrites,262144,382145
10pctReads,262144,372495
10pctWrites,262144,374747
WriteOnly,524288,535920
ReadOnly,524288,355388
EvenReadsWrites,524288,724846
10pctReads,524288,715938
10pctWrites,524288,701429
WriteOnly,1024,768
ReadOnly,1024,581
EvenReadsWrites,1024,1126
10pctReads,1024,1997
10pctWrites,1024,1020
WriteOnly,2048,1379
ReadOnly,2048,883
EvenReadsWrites,2048,2174
10pctReads,2048,2094
10pctWrites,2048,2295
WriteOnly,4096,3038
ReadOnly,4096,1961
EvenReadsWrites,4096,5302
10pctReads,4096,5256
10pctWrites,4096,7533
WriteOnly,8192,5956
ReadOnly,8192,4153
EvenReadsWrites,8192,13468
10pctReads,8192,15283
10pctWrites,8192,15749
WriteOnly,16384,15672
ReadOnly,16384,11108
EvenReadsWrites,16384,32643
10pctReads,16384,32037
10pctWrites,16384,28560
WriteOnly,32768,29415
ReadOnly,32768,20772
EvenReadsWrites,32768,65979
10pctReads,32768,57135
10pctWrites,32768,60079
WriteOnly,65536,70903
ReadOnly,65536,47389
EvenReadsWrites,65536,107008
10pctReads,65536,102491
10pctWrites,65536,99824
WriteOnly,131072,132208
ReadOnly,131072,88581
EvenReadsWrites,131072,196342
10pctReads,131072,181595
10pctWrites,131072,193795
WriteOnly,262144,269527
ReadOnly,262144,163637
EvenReadsWrites,262144,353066
10pctReads,262144,365935
10pctWrites,262144,363549
WriteOnly,524288,541218
ReadOnly,524288,348649
EvenReadsWrites,524288,712181
10pctReads,524288,729887
10pctWrites,524288,723001
WriteOnly,1024,741
ReadOnly,1024,503
EvenReadsWrites,1024,1074
10pctReads,1024,1146
10pctWrites,1024,1081
WriteOnly,2048,1479
ReadOnly,2048,922
EvenReadsWrites,2048,2196
10pctReads,2048,4433
10pctWrites,2048,2750
WriteOnly,4096,2883
ReadOnly,4096,2514
EvenReadsWrites,4096,7768
10pctReads,4096,5723
10pctWrites,4096,6603
WriteOnly,8192,6702
ReadOnly,8192,3754
EvenReadsWrites,8192,11693
10pctReads,8192,14859
10pctWrites,8192,13099
WriteOnly,16384,15985
ReadOnly,16384,9326
EvenReadsWrites,16384,25903
10pctReads,16384,31128
10pctWrites,16384,31932
WriteOnly,32768,34043
ReadOnly,32768,25175
EvenReadsWrites,32768,59188
10pctReads,32768,60132
10pctWrites,32768,56967
WriteOnly,65536,64877
ReadOnly,65536,38755
EvenReadsWrites,65536,120144
10pctReads,65536,105366
10pctWrites,65536,90204
WriteOnly,131072,141666
ReadOnly,131072,84951
EvenReadsWrites,131072,193794
10pctReads,131072,204688
10pctWrites,131072,194532
WriteOnly,262144,264524
ReadOnly,262144,173040
EvenReadsWrites,262144,370014
10pctReads,262144,360916
10pctWrites,262144,360268
WriteOnly,524288,536998
ReadOnly,524288,348678
EvenReadsWrites,524288,698938
10pctReads,524288,777799
10pctWrites,524288,716184
WriteOnly,1024,793
ReadOnly,1024,509
EvenReadsWrites,1024,1099
10pctReads,1024,1064
10pctWrites,1024,1211
WriteOnly,2048,1530
ReadOnly,2048,891
EvenReadsWrites,2048,3508
10pctReads,2048,3332
10pctWrites,2048,2955
WriteOnly,4096,4232
ReadOnly,4096,2238
EvenReadsWrites,4096,7401
10pctReads,4096,4913
10pctWrites,4096,6743
WriteOnly,8192,7550
ReadOnly,8192,3992
EvenReadsWrites,8192,14858
10pctReads,8192,17085
10pctWrites,8192,14197
WriteOnly,16384,13847
ReadOnly,16384,9420
EvenReadsWrites,16384,30533
10pctReads,16384,28875
10pctWrites,16384,30906
WriteOnly,32768,35512
ReadOnly,32768,20188
EvenReadsWrites,32768,54729
10pctReads,32768,62862
10pctWrites,32768,62843
WriteOnly,65536,67856
ReadOnly,65536,41434
EvenReadsWrites,65536,123088
10pctReads,65536,134807
10pctWrites,65536,99722
WriteOnly,131072,135454
ReadOnly,131072,86218
EvenReadsWrites,131072,188960
10pctReads,131072,190841
10pctWrites,131072,184148
WriteOnly,262144,268695
ReadOnly,262144,174567
EvenReadsWrites,262144,370438
10pctReads,262144,353580
10pctWrites,262144,360193
WriteOnly,524288,542616
ReadOnly,524288,370209
EvenReadsWrites,524288,709059
10pctReads,524288,713720
10pctWrites,524288,716385
WriteOnly,1024,593
ReadOnly,1024,567
EvenReadsWrites,1024,1371
10pctReads,1024,1683
10pctWrites,1024,1139
WriteOnly,2048,1664
ReadOnly,2048,1008
EvenReadsWrites,2048,2241
10pctReads,2048,2170
10pctWrites,2048,2210
WriteOnly,4096,4311
ReadOnly,4096,2273
EvenReadsWrites,4096,5161
10pctReads,4096,6801
10pctWrites,4096,5487
WriteOnly,8192,7543
ReadOnly,8192,4789
EvenReadsWrites,8192,12877
10pctReads,8192,16362
10pctWrites,8192,12986
WriteOnly,16384,14117
ReadOnly,16384,10730
EvenReadsWrites,16384,33730
10pctReads,16384,32163
10pctWrites,16384,32195
WriteOnly,32768,33630
ReadOnly,32768,22478
EvenReadsWrites,32768,58876
10pctReads,32768,60393
10pctWrites,32768,53845
WriteOnly,65536,66002
ReadOnly,65536,39679
EvenReadsWrites,65536,113013
10pctReads,65536,105391
10pctWrites,65536,99592
WriteOnly,131072,131712
ReadOnly,131072,85318
EvenReadsWrites,131072,186780
10pctReads,131072,189239
10pctWrites,131072,186316
WriteOnly,262144,267925
ReadOnly,262144,167244
EvenReadsWrites,262144,367478
10pctReads,262144,363301
10pctWrites,262144,352801
WriteOnly,524288,536023
ReadOnly,524288,364933
EvenReadsWrites,524288,707055
10pctReads,524288,714605
10pctWrites,524288,700703
WriteOnly,1024,721
ReadOnly,1024,476
EvenReadsWrites,1024,1116
10pctReads,1024,1274
10pctWrites,1024,1055
WriteOnly,2048,1564
ReadOnly,2048,807
EvenReadsWrites,2048,3279
10pctReads,2048,2132
